Label	Time
PreProcessing	0.014019300000000179
Contour Finding	0.021300799999999898
Rotating Pieces	0
Processing Pieces into Grids	0.8001594000000001
Solving the Puzzle	1.0035344
First BKT solution found at 	2.0000000011677344e-07
Choosing the best solution for Jigsaw	0.016328499999999746
Total time	1.8614979999999999
Jigsaw Success	True
Pieces	12
NCC	0.002640299999999929
Possible Solutions	1
Image size	845.22265625
